*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DIY Meshtastic PCB 38 pin vertical
*Date=22:01:01
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;100nF;100 mil [THT, multilayer];10.9313;-69.901;-90;Bottom;C1
103;;;47.3202;-55.9747;0;Bottom;Copper Fill6
104;;;16.4338;-99.1547;0;Bottom;Copper Fill73
105;;;16.4846;-43.0334;0;Bottom;Copper Fill2
106;;;43.9513;-15.2909;0;Bottom;Via57
107;;;31.6992;-15.3347;0;Bottom;Copper Fill52
108;;;4.74879;-11.9197;0;Bottom;TXT5
109;;;18.0086;-20.4147;0;Bottom;Copper Fill48
110;;;37.973;-99.1547;0;Bottom;Copper Fill66
111;;;2.54;-7.7147;0;Bottom;Copper Fill54
112;;;45.5422;-55.9747;0;Bottom;Copper Fill5
113;;;24.9936;-53.0156;0;Bottom;Copper Fill3
114;;;16.0113;-5.13105;0;Bottom;Via55
115;;;2.3876;-38.1947;0;Bottom;Copper Fill30
116;;;10.9093;-67.9;0;Bottom;Copper Fill26
117;;;43.8785;-15.83;0;Bottom;Copper Fill13
118;;cpol-radial-100uf-25v;45.2213;-27.991;0;Bottom;C4
119;;;5.62541;-34.0666;-90;Bottom;TXT2
120;;;36.3313;-73.7111;0;Bottom;Via47
121;;;45.6612;-40.3058;0;Bottom;TXT5
122;;;35.6108;-50.6534;0;Bottom;Copper Fill33
